question_id,model,question,answer,context
Q11,qwen2.5:0.5b,What are the key principles of the organization?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q12,qwen2.5:0.5b,How does the organization approach collaboration?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q13,qwen2.5:0.5b,What does the organization emphasize in its working culture?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q14,qwen2.5:0.5b,What learning resources are available to employees?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q15,qwen2.5:0.5b,What communities are available for data-related learning?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q16,qwen2.5:0.5b,What is GitLab's AI vision and strategy?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q17,qwen2.5:0.5b,What are the guidelines for using AI agents?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q18,qwen2.5:0.5b,How can AI assist development work?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q19,qwen2.5:0.5b,What is the organization's approach to agentic tooling?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q20,qwen2.5:0.5b,What are the recommended practices for AI-assisted development?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q21,qwen2.5:0.5b,What can interns expect from their internship experience?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q22,qwen2.5:0.5b,What advice is given to future interns?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q23,qwen2.5:0.5b,What are some important lessons from the internship experience?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q24,qwen2.5:0.5b,Why is being proactive important for interns?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q25,qwen2.5:0.5b,What role does collaboration play in the internship experience?,"Collaboration plays a crucial role in the internship experience. Interns gain valuable insights and learn new skills by working with their team members to achieve common goals. They also have the opportunity to collaborate on projects, learn from each other, and contribute to the success of the team.","experience? - Does the intern have sufficient foundational skills to be able to ramp up to work on a Data project? While interns are not expected to be heavily skilled in the area they are interested in (they will build those skills up as part of the internship program!) they should have a working knowledge/awareness of the tooling and technology that is required to successfully complete an internship. If the answer to these questions is **YES**, there is a great chance the internship is a fit for all team members. In other cases, internship requests may be deferred to a future quarter (based on bandwidth/availability of projects) or declined (if there is not a good fit). ### Data Team Internship KPIs The following KPIs are guidelines we plan to use for the internship. These may be adjusted by the mentor/intern prior to the start of the internship with approval from the team manager. 1. Successful Data Team Onboarding within 30 Calendar Days 1. Monthly Progress Report and Feedback issue 1. Final CSAT Score of 4 or higher on a 5 point scale 1. Number of Data Project MRs successfully Merged > 5 1. Number of Data Team Handbook MRs successfully Merged > 5 ## What Does A Data Team Intern Do? An internship gives you insight into a [Data Team role](/handbook/enterprise-data/organization/#data-roles-and-career-development) by providing you opportunities to learn and contribute to GitLab results. You will be fully integrated into the team through Data Onboarding and be assigned **real** projects that contribute to Quarterly Objectives and the [Data Team Roadmap](https://internal.gitlab.com/handbook/enterprise-data/direction/). In the GitLab Data Team we believe in full end-to-end ownership of the work we do, ranging from requirements gathering all the way to production deployment and operations. During your internship you will be assigned a Senior team member as a mentor-manager, who will help you to navigate in daily tasks. Examples of your tasks will include: - Requirements gathering - Extraction of data from various sources to support project's objective - Analysing and visualising data to develop new insights - Collaboration with stakeholders (including explaining technical concepts with non-technical language) - Working in GitLab to manage projects (via epics and issues) - Writing new source code and merging the code through a Merge Request ## General Requirements - Familiarity with and interest in the specified Data Team job family - BS or MS in data-related fields (statistics, computer science, engineering), but self-learners are also welcome to apply - Positive and solution-oriented mindset - Comfort working in a highly agile, intensely iterative environment - Self-motivated and self-managing, with task organizational skills - Working knowledge of, or demonstrated hands-on interest and propensity for learning SQL

--- title: ""Learnings From Internships"" controlled_document: false --- ## Purpose This page is created to share the experiences of Data Team members who completed internships with various teams within GitLab, with the aim of providing insights, learnings, and best practices. ## Internship Experience * [Lessons from the Trenches: Insights from an SRE Internship](/handbook/enterprise-data/organization/internship-experience/lessons-from-the-trenches-ved-prakash.md)

but you can't merge your changes. Also, one contributed to the MR and can't merge or approve the changes. * Everyone in the team uses Yubikey to connect to the production instance, ensuring the best security. ### How does an internship with the SRE foundation benefit the data platform team? * With my internship kicked in, I got everyone in the data platform team to have Yubikey and a defined process to access the .com Postgres instance accessible from a local machine. A self-serving process is set up for any new onboarding team member. * I onboarded the whole data platform team on Hashicorp vault, which will help the team manage the kubernetes secrets for airflow instances running in production and testing namespace. * Together with Rigerta, we onboarded data platform staging airflow GKE cluster on the SRE team config-mgmt repo. (This ensures data platform infrastructure is highly reliable and secure, and we get controlled upgrades from Google). Learning from this is to roll out the production cluster to the config-mgmt. * There is knowledge in the team on which team in infrastructure is responsible for managing which infrastructure component. ### Key takeaways from the SRE Foundation team internship 1. <b>Importance of Observability:</b> I learned that having comprehensive visibility into our systems is crucial for maintaining reliability. Proper instrumentation, logging, and monitoring are essential for quickly identifying, and resolving issues. 2. <b>Embracing Failure:</b> The SRE mindset of treating failures as learning opportunities rather than blame-worthy events was eye-opening. This approach fosters a culture of continuous improvement and innovation. 3. <b>Automation is Key:</b> I saw firsthand how automation can significantly reduce human error, increase efficiency, and allow the team to focus on more strategic initiatives. 4. <b>Cross-functional Collaboration:</b> SRE work involves close collaboration with development teams and other stakeholders. Effective communication and teamwork are essential for success. 5. <b>Continuous Learning:</b> The fast-paced nature of technology means that SREs must constantly update their skills and knowledge. I learned the importance of staying curious and adaptable in this field. ### Challenges and Growth While the internship was enriching, it also came with its share of challenges: 1. <b>Steep Learning Curve:</b> The sheer amount of new technologies, tools, and concepts I had to grasp was initially overwhelming. However, this challenge pushed me to develop effective learning strategies and time management skills. 2. <b>Dealing with Ambiguity:</b> Many problems in SRE don't have clear-cut solutions. Learning to navigate ambiguity and make decisions with incomplete information was a valuable skill I developed. 3. <b>Balancing Reliability and Innovation:</b> I learned the delicate balance between maintaining system stability and pushing for innovation and improvements. ### How does an intern contribute? * Handbook update of SRE team. * Process sharing in terms of how we do weekly sync and what different topics we cover * An intern helps them update the document to make things self-serving, that is to prepare the runbook. * Performing review of small changes. ### Key Takeaways for Future Interns If you're considering an SRE internship,"
Q1,llama3.2:1b,How many casual leaves are employees entitled to?,"ERROR: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=180)",
Q2,llama3.2:1b,How many sick leaves are available to employees?,"I have checked the context and found that the information regarding sick leaves is not explicitly stated. The context only mentions the following:

- Employees are entitled to 10 sick leaves per calendar year
- Sick leave may be taken when an employee is unwell
- Employees should inform the manager as soon as reasonably possible
- Unused casual leave cannot be carried forward to next calendar year

Since the information about sick leaves is not provided, I don't have a final answer to the question.","LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements."
Q3,llama3.2:1b,Can unused casual leave be carried forward?,I don't have this information in my knowledge base.,"LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements."
Q4,llama3.2:1b,When should an employee request casual leave?,If the information is not available in my knowledge base.,"LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements."
Q5,llama3.2:1b,What should an employee do when they need sick leave?,"When an employee needs sick leave, they should:

1. Inform their manager as soon as reasonably possible. 
2. Submit their sick leave request through the organization's leave management system.","LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements."
Q6,llama3.2:1b,How should employees submit leave requests?,"I dont have this information in my knowledge base.

However, according to the context, employees are required to submit leave requests through the organization's leave management system.","LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system.

WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours."
Q7,llama3.2:1b,What is the work-from-home policy?,"The work-from-home policy is outlined as:

* Employees may request work from home when their role permits remote work
* Work from home should normally be submitted to reporting manager before working day begins
* Employees working from home are expected to remain available during normal working hours
* Employees must have access to the required systems and communication tools while working remotely
* The manager may approve or reject a work from home request based on business requirements","WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system."
Q8,llama3.2:1b,When should an employee submit a work-from-home request?,I dont have this information in my knowledge base,"WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system."
Q9,llama3.2:1b,Can a manager reject a work-from-home request?,I dont have this information in my knowledge base,"WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

LEAVE POLICY Employees are entitled to 12 casual leaves per calendar year. Employees are entitled to 10 sick leaves per calendar year. Casual leave should normally be requested in advance and requires manager approval. Sick leave maybe taken when an employee is unwell. The employee should inform the manager as soon as reasonably possible. Unused casual leave cannot be carried forward to next calendar year. Employees should submit leave requests through the organization's leave management system."
Q10,llama3.2:1b,What are the expectations for employees working remotely?,I dont have this information in my knowledge base.,"WORK FROM HOME POLICY Employees may request work from home when their role permits remote work. Work from home should normally be submitted to reporting manager before working day begins. Employees working from home are expected to remain available during normal working hours. Employees must have access to the required systems and communication tools while working remotely. The manager may approve or reject a work from home request based on business requirements.

ATTENDANCE POLICY Employees are expected to follow their assigend working schedule. Employees should record their attendance using organization's attendance system. Employees who are unable to attend work should inform their manager as soon as possible. Repeated unauthorized absence may result in disciplinary action according to organizational policy. Employees working remotely are also required to follow their assigned working hours.

There are no requirements in which team a Team Member is part of(so this could be outside of the central Data Team as well) as long as the TTT meets the expectations described below. | Tool / Technology | Tandem | | ----------------- | ------ | | Snowflake | t.b.d. | | Monte Carlo | t.b.d. | | dbt | t.b.d. | | Tableau | t.b.d. | ### What do we expect from TTT - We expect TTT to get in touch with our business partners and all functions that contribute to the data program or work with our Data Platform, to understand their challenges. - We expect TTT to get up to date with the latest in their area. They understand the full capabilities of the tool / technology, have regular touchpoints with the respective vendor and have a good understanding of the latest released features. - TTT will guide and educate our business partners. - TTT will initiate [design-spikes](/handbook/enterprise-data/how-we-work/#design-spike) for quarterly [planning](/handbook/enterprise-data/how-we-work/planning/)."
